pcap_path,rows,packets,packets_per_row,window_class
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_PHOTO.pcap,577,5769,9.998267,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_RECORDING.pcap,1645,16442,9.995137,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_WATCH.pcap,1576,15752,9.994924,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_LAN_APP.pcap,44,434,9.863636,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_LAN_PHYSICAL.pcap,21,202,9.619048,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_WAN_APP.pcap,21,202,9.619048,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_WAN_PHYSICAL.pcap,10,91,9.100000,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_MIC.pcap,3893,38911,9.995119,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_PHOTO.pcap,881,8810,10.000000,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_RECORDING.pcap,3668,36662,9.995093,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_WATCH.pcap,3062,30605,9.995101,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_MIC.pcap,3734,37326,9.996251,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_PHOTO.pcap,570,5695,9.991228,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_RECORDING.pcap,4014,40120,9.995017,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_WATCH.pcap,3506,35040,9.994295,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/SenseU/SenseU_LAN_EMERGENCY.pcap,22,216,9.818182,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/SenseU/SenseU_WAN_EMERGENCY.pcap,16,157,9.812500,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Singcall/Singcall_LAN_PHYSICAL.pcap,42,419,9.976190,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Singcall/Singcall_WAN_PHYSICAL.pcap,34,334,9.823529,~10
WiFI_and_MQTT/profiling/PCAP/Power/Blink_Mini_Camera_Power.pcap,57,568,9.964912,~10
WiFI_and_MQTT/profiling/PCAP/Power/Ecobee_Camera_Power.pcap,256,2651,10.355469,~10
WiFI_and_MQTT/profiling/PCAP/Power/M1T_Camera_Power.pcap,41,413,10.073171,~10
WiFI_and_MQTT/profiling/PCAP/Power/Multifunctional_Pager_Power.pcap,72,720,10.000000,~10
WiFI_and_MQTT/profiling/PCAP/Power/Owltron_Camera_Power.pcap,121,1207,9.975207,~10
WiFI_and_MQTT/profiling/PCAP/Power/SenseUBaby_Power.pcap,33,352,10.666667,~10
WiFI_and_MQTT/profiling/PCAP/Power/Singcall_Power.pcap,51,506,9.921569,~10
